method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes,sequence_id
confidence_threshold_0.4,7655,946,15442,0.8900127892105569,0.33142832402476513,0.4829957726039498,0.4829957726039498,135,29.094827586206897,528,yolov8s,0.4,29.094827586206897,0.02900873515828123,-6703.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.4,3052,389,14227,0.8869514675966289,0.17663059204815093,0.2945945945945946,0.2945945945945946,111,31.805157593123205,301,yolov8s,0.4,31.805157593123205,-0.159392442851074,-6727.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.4,5839,407,18249,0.9348382965097662,0.2424028561939555,0.38498054987802466,0.38498054987802466,128,54.93562231759657,530,yolov8s,0.4,54.93562231759657,-0.06900648756764394,-6710.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.4,2278,807,15393,0.7384116693679093,0.1289117763567427,0.21950279437271153,0.21950279437271153,221,60.88154269972452,268,yolov8s,0.4,60.88154269972452,-0.23448424307295707,-6617.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.4,2045,1680,11533,0.548993288590604,0.15061128295772575,0.23637519505288102,0.23637519505288102,114,11.65644171779141,95,yolov8s,0.4,11.65644171779141,-0.21761184239278758,-6724.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.4,269,1183,6122,0.18526170798898073,0.042090439680801124,0.06859620043350759,0.06859620043350759,118,64.13043478260869,54,yolov8s,0.4,64.13043478260869,-0.38539083701216104,-6720.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.4,2974,230,9054,0.9282147315855181,0.2472564017292983,0.3904936974789916,0.3904936974789916,106,38.54545454545455,265,yolov8s,0.4,38.54545454545455,-0.063493339966677,-6732.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.5,6244,563,16853,0.917291023945938,0.27033813915227084,0.4176029962546816,0.4176029962546816,75,16.163793103448278,456,yolov8s,0.5,16.163793103448278,-0.03638404119098698,-6763.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.5,2262,125,15017,0.9476330121491412,0.13091035360842643,0.23004169632868915,0.23004169632868915,42,12.034383954154727,237,yolov8s,0.5,12.034383954154727,-0.22394534111697945,-6796.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.5,4433,211,19655,0.9545650301464255,0.18403354367319827,0.3085758039816232,0.3085758039816232,55,23.605150214592275,343,yolov8s,0.5,23.605150214592275,-0.1454112334640454,-6783.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.5,1577,303,16094,0.8388297872340426,0.08924226133212608,0.16132167152575314,0.16132167152575314,86,23.69146005509642,196,yolov8s,0.5,23.69146005509642,-0.29266536591991543,-6752.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.5,1700,1225,11878,0.5811965811965812,0.12520253351008986,0.20602314730655039,0.20602314730655039,65,6.646216768916155,155,yolov8s,0.5,6.646216768916155,-0.2479638901391182,-6773.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
